Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2025/2/15,2025,2,15,,-1,,-5.3,,-3.2,,21.2,,0,,,,,,9,,30,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/16,2025,2,16,,-3.8,,-8.1,,-6,,24,,0,,,,,,17.3,,39,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/17,2025,2,17,,-5.7,,-11.5,,-8.6,,26.6,,0,,,,,,0,,46,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/18,2025,2,18,,-5.9,,-12.5,,-9.2,,27.2,,0,,,,,,0,,42,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/19,2025,2,19,,-5.7,,-10.6,,-8.1,,26.1,,0,,,,,,0,,39,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/20,2025,2,20,,-6.7,,-10.5,,-8.6,,26.6,,0,,,,,,0.1,,38,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/21,2025,2,21,,-4.9,,-11.7,,-8.3,,26.3,,0,,,,,,0,,37,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/22,2025,2,22,,-0.3,,-6.3,,-3.3,,21.3,,0,,,,,,0.2,,36,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/23,2025,2,23,,2,,-2.3,,-0.1,,18.1,,0,,,,,,0,,35,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/24,2025,2,24,,8.5,,-0.1,,4.2,,13.8,,0,,,,,,0,,33,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/25,2025,2,25,,8.1,,2.9,,5.5,,12.5,,0,,,,,,0.6,,29,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/26,2025,2,26,,5.9,,0.6,,3.2,,14.8,,0,,,,,,0,,25,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/27,2025,2,27,,5.6,,0.1,,2.8,,15.2,,0,,,,,,4.6,,24,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/28,2025,2,28,,5.5,,-3.3,,1.1,,16.9,,0,,,,,,0.5,,22,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/1,2025,3,1,,5.1,,-11.3,,-3.1,,21.1,,0,,,,,,0,,21,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/2,2025,3,2,,-4.1,,-15.1,,-9.6,,27.6,,0,,,,,,0,,21,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/3,2025,3,3,,3.3,,-6.2,,-1.4,,19.4,,0,,,,,,0,,21,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/4,2025,3,4,,7.3,,0.7,,4,,14,,0,,,,,,0.9,,20,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/5,2025,3,5,,7.3,,3.5,,5.4,,12.6,,0,,,,,,14.4,,16,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/6,2025,3,6,,3.7,,-2.7,,0.5,,17.5,,0,,,,,,0.1,,12,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/7,2025,3,7,,3.1,,-1.5,,0.8,,17.2,,0,,,,,,0,,12,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/8,2025,3,8,,2.3,,-4.9,,-1.3,,19.3,,0,,,,,,0,,11,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/9,2025,3,9,,8,,-1.6,,3.2,,14.8,,0,,,,,,0,,10,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/10,2025,3,10,,11.7,,2.7,,7.2,,10.8,,0,,,,,,0,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/11,2025,3,11,,13.6,,-1,,6.3,,11.7,,0,,,,,,0,,5,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/12,2025,3,12,,1.2,,-2.1,,-0.5,,18.5,,0,,,,,,0,,,,,M,,M
