Date,Total_Delay_Min,Delay_Count,Total_Precip_mm,Mean_Temp_C,Snow_On_Grnd_cm,DayOfWeek
2022-03-18,102,16,0.1,12.2,1.0,Friday
2022-03-19,50,22,6.3,6.7,0.0,Saturday
2022-03-20,39,15,0.7,7.6,0.0,Sunday
2022-03-21,111,21,0.0,8.2,0.0,Monday
2022-03-22,77,15,0.0,2.8,0.0,Tuesday
2022-03-23,317,31,19.5,2.6,0.0,Wednesday
2022-03-24,135,29,0.0,7.2,0.0,Thursday
2022-03-25,63,25,0.0,5.2,1.0,Friday
2022-03-26,78,29,1.7,3.9,1.0,Saturday
2022-03-27,91,26,1.0,-3.7,0.0,Sunday
2022-03-28,124,24,0.0,-7.4,0.0,Monday
2022-03-29,78,27,0.0,-2.1,1.0,Tuesday
2022-03-30,293,29,3.0,1.9,0.0,Wednesday
2022-03-31,61,29,0.3,10.4,0.0,Thursday
2022-04-01,53,24,1.7,1.9,0.0,Friday
2022-04-02,192,20,0.0,2.3,0.0,Saturday
2022-04-03,32,16,0.0,4.4,0.0,Sunday
2022-04-04,91,26,0.0,3.9,0.0,Monday
2022-04-05,79,25,0.5,7.5,0.0,Tuesday
2022-04-06,147,27,5.5,9.3,0.0,Wednesday
2022-04-07,87,27,1.6,9.6,0.0,Thursday
2022-04-08,107,23,1.0,6.7,0.0,Friday
2022-04-09,204,31,0.0,5.4,0.0,Saturday
2022-04-10,112,24,0.0,5.6,0.0,Sunday
2022-04-11,52,17,0.2,7.1,0.0,Monday
2022-04-12,68,28,0.0,11.4,0.0,Tuesday
2022-04-13,101,17,3.1,12.9,0.0,Wednesday
2022-04-14,17,20,0.1,11.2,0.0,Thursday
2022-04-15,23,18,0.8,9.0,0.0,Friday
2022-04-16,42,26,0.0,4.2,0.0,Saturday
2022-04-17,151,17,0.0,4.3,0.0,Sunday
2022-04-18,100,31,13.6,3.3,0.0,Monday
2022-04-19,115,24,0.9,4.7,0.0,Tuesday
2022-04-20,85,26,0.0,6.4,0.0,Wednesday
2022-04-21,93,32,4.3,10.8,0.0,Thursday
2022-04-22,64,20,0.0,8.2,0.0,Friday
2022-04-23,58,22,0.1,8.1,0.0,Saturday
2022-04-24,100,19,0.0,11.1,0.0,Sunday
2022-04-25,147,32,8.9,14.8,0.0,Monday
2022-04-26,80,23,2.5,7.2,0.0,Tuesday
2022-04-27,111,20,0.0,2.8,0.0,Wednesday
2022-04-28,54,21,0.0,5.2,0.0,Thursday
2022-04-29,80,33,0.0,7.1,0.0,Friday
2022-04-30,77,34,0.0,9.9,0.0,Saturday
2022-05-01,68,18,1.4,9.1,0.0,Sunday
2022-05-02,142,31,0.0,11.0,0.0,Monday
