Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2023/2/19,2023,2,19,,8.8,,2,,5.4,,12.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/20,2023,2,20,,6.6,,-0.9,,2.9,,15.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/21,2023,2,21,,7.1,,-1,,3.1,,14.9,,0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/22,2023,2,22,,-0.3,,-6.7,,-3.5,,21.5,,0,,,,,,17.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/23,2023,2,23,,-1,,-7.1,,-4.1,,22.1,,0,,,,,,1,,12,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/24,2023,2,24,,-2.2,,-9.5,,-5.9,,23.9,,0,,,,,,0,,11,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/25,2023,2,25,,-0.9,,-8.2,,-4.5,,22.5,,0,,,,,,0.9,,11,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/26,2023,2,26,,4.2,,-3.1,,0.6,,17.4,,0,,,,,,0,,11,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/27,2023,2,27,,0.8,,-5.4,,-2.3,,20.3,,0,,,,,,7.2,,7,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/28,2023,2,28,,2.6,,-0.1,,1.3,,16.7,,0,,,,,,2.8,,10,,,M,,M
